Artist_Name,Birth_Year,Turnover,Sold Lots,Highest Price
Ennio Chiggio,1937,,,
Enric Bernat i Fontlladosa,1923,,,
Enric Miralles,1955,,,
Enric Ruiz-Geli,1968,,,
Enrico Baj,1924,,,
Enrico Castellani,1930,,,
Enrico David,1966,,,
Enrico Sarsini,1938,,,
Enrique Aguerre,1964,,,
Enrique Brinkmann,1938,,,
Enrique Buchichio,1973,,,
Enrique Castro-Cid,1937,,,
Enrique Chagoya,1953,,,
Enrique Grau,1920,,,
Enrique Metinides,1934,,,
Enrique ZaÃ±artu,1921,,,
Ensamble Studio/MIT-POPlab,2000,,,
Enzo Cucchi,1949,,,
Enzo Mari,1932,,,
Epic Records,1953,,,
Equipo CrÃ³nica,1964,,,
Eran Schaerf,1962,,,
Ergonomi Design Gruppen (now Veryday),1969,,,
Eric Andersen,1940,,,
Eric Baudelaire,1973,,,
Eric Cadora,1962,,,
Eric Drooker,1958,,,
Eric Erickson,1953,,,
Eric Fehlberg,1976,,,
Eric Fischl,1948,1447294,32,504500
Eric Goetz,1949,,,
Eric Hurtado,1959,,,
Eric Marciano,1959,,,
Eric Mendelsohn,1964,,,
Eric Metcalfe,1940,,,
Eric Owen Moss,1943,,,
Eric P. Renner,1941,,,
Eric Paddock,1954,,,
Eric Rivkin,1951,,,
Eric Rohmer,1920,,,
Eric Rondepierre,1950,,,
Eric Rosenbaum,1979,,,
Eric Staller,1947,,,
Eric Sugalski,1978,,,
Eric Watson,1955,,,
Erich Buchegger,1924,,,
Erich Hartmann,1922,,,
Erich Walter Stadler,1927,,,
Erick Beltran,1974,,,
Erick Zonca,1956,,,
Ericka Beckman,1951,,,
Erik Hersman,1975,,,
Erik Parker,1968,,,
Erik Saxon,1941,,,
Erik Spiekermann,1947,,,
Erik van Blokland,1967,,,
Erik van Lieshout,1968,,,
Erika Gerzsenyi,1972,,,
Erin Shirreff,1975,,,
Ermanno Olmi,1931,,,
ErnÃ¶ Rubik,1944,,,
Ernest  Trova,1927,,,
Ernest Cole,1940,,,
Ernest Gusella,1941,,,
Ernest Walters,1927,,,
Ernestine White,1976,,,
Ernesto Caivano,1972,,,
Ernesto Deira,1928,,,
Ernesto Fontecilla,1938,,,
Ernesto Neto,1964,,,
Ernesto Spicciolato,1957,,,
Ernie Cefalu,1945,,,
Ernie Gehr,1941,,,
Ernst Caramelle,1952,,,
Ernst Fuchs,1930,,,
Ernst Haas,1921,,,
Ernst Lieser,1940,,,
Ernst Neizvestny,1925,,,
Ernst Roch,1928,,,
Erol (Erol Akyavas),1932,,,
Erro (Gudmundur Gudmundsson),1932,,,
Errol Morris,1948,,,
Erwan Bouroullec,1976,,,
Erwin Andra,1921,,,
Erwin Hauer,1926,,,
Erwin Pfrang,1951,,,
Erwin Wurm,1954,536767,13,176035
Eryk Rocha,1978,,,
Espinoza Duenas,1926,,,
Established & Sons,2005,,,
Estella Conwill Majozo,1949,,,
Ester PartegÃ s,1972,,,
Esterio Segura,1970,,,
Esther Bubley,1921,,,
Esther Parada,1938,,,
Esther Regelson,1959,,,
Esther Wood,1921,,,
Estudio Teddy Cruz + Forman,2000,,,
Eszter Haraszty,1920,,,
Etel Adnan,1925,,,
Ethan Coen,1957,,,
Ethelyn Honig,1933,,,
Etienne Rijkheer,1949,,,
EugÃ¨ne Dodeigne,1923,,,
Eugene Feldman,1921,,,
Eugene Larkin,1921,,,
Eugene Martinez,1925,,,
Eugene Richards,1944,,,
Eugene Walters,1942,,,
Eugenio Carmi,1920,,,
Eugenio Dittborn,1943,,,
Eugenio Tellez,1939,,,
Eugeniusz Stankiewicz,1942,,,
Eusebio Sempere,1924,,,
Euzhan Palcy,1958,,,
Eva Hesse,1936,,,
Eva KotÃ¡tkovÃ¡,1982,,,
Eva Lipman,1946,,,
Eva Rothschild,1972,,,
EVAC+ Design/Engineering Team,2001,,,
Evan Holloway,1967,,,
Evan Roth,1978,,,
Eve Aschheim,1958,,,
Eve Laramee,1956,,,
Eve Sonneman,1946,,,
Evergon,1946,,,
Ewa Partum,1945,,,
Ewan Gibbs,1973,,,
Experimental Jetset,1997,,,
Eyal Burstein,1977,,,
Ezio DiBelardino,1944,,,
Ezio Pirali,1921,,,
Ezra Orion,1934,,,
FÃ©lix Rozen,1938,,,
Fabian Marcaccio,1963,,,
Fabio Balducci,1964,,,
Fabio Bonzi,1943,,,
Fabio Lenci,1935,,,
Fabrice Hybert,1961,,,
Fabrizio Gori,1940,,,
"Factory Records, Manchester",1978,,,
Faith Hubley,1924,,,
Faith Ringgold,1930,,,
Fang Lijun,1963,2348877,15,1236361
Fanta RÃ©gina Nacro,1962,,,
Faouzi BensaÃ¯di,1967,,,
Faramarz Pilaram,1937,,,
Fareed Armaly,1957,,,
Farnese de Andrade-Neto,1926,,,
Farshid Moussavi,1965,,,
"Fasem International srl, Vicopisano, Italy",1976,,,
Fatih Akin,1973,,,
Fatih Aydogdu,1963,,,
Fayga Ostrower,1920,,,
Fazal Sheikh,1965,,,
F-Beat Records,1979,,,
Federico Fellini,1920,,,
Federico GuzmÃ¡n,1964,,,
Federico Veiroj,1976,,,
Fehim Demir/Agence France-Presse,1959,,,
Felipe Ehrenberg,1943,,,
Felix Beltran,1938,,,
Felix Droese,1950,,,
Felix Gonzalez-Torres,1957,6569975,6,5195600
Feng Mengbo,1966,,,
Ferdinand Kriwet,1942,,,
Ferdinand Schmatz,1953,,,
Fergus Bourke,1934,,,
Fernanda Bertini ViÃ©gas,1971,,,
Fernando Balcells,1950,,,
Fernando Botero,1932,,,
Fernando Bryce,1965,,,
Fernando Campana,1961,,,
Fernando Garcia Ponce,1933,,,
Fernando Guerra,1970,,,
Fernando MartÃ­n Menis,1951,,,
Fernando Meirelles,1955,,,
Fernando Ortega,1971,,,
Fernando Szyszlo,1925,,,
Fernando Vilela,1973,,,
"Ferrara Design, Inc.",1968,,,
"Ferrari S.p.A., Maranello, Italy",1929,,,
Ferzan Ã–zpetek,1959,,,
Filip Dujardin,1971,,,
Finn SkÃ¶dt,1944,,,
Fiona Banner,1966,,,
Fiona Raby,1963,,,
Fionnuala Boyd,1944,,,
Flaminaire,1939,,,
Flemming Bo Hansen,1955,,,
Flex Development B.V.,1988,,,
Flor GarduÃ±o,1957,,,
Flora Manteola,1936,,,
Florencia de Amesti,1925,,,
Florian Idenburg,1975,,,
Florian PumhÃ¶sl,1971,,,
Floris M. NeusÃ¼ss,1937,,,
Flos S.p.A.,1962,,,
FM Designs,1988,,,
"Focus Belysning, Denmark",1975,,,
"Folkways Records, New York",1948,,,
"Fontana Arte, Italy",1932,,,
"Foreign Office Architects (FOA), London",1992,,,
Formafantasma,2009,,,
Forrest Myers,1941,,,
"Foscarini Murano S.p.A., Italy",1981,,,
Foster Associates,1967,,,
FrÃ©dÃ©ric Bruly-BouabrÃ©,1921,,,
FrÃ©dÃ©ric Druot,1958,,,
"Frabill, Inc.",1944,,,
FranÃ§ois Arnal,1924,,,
FranÃ§ois Baschet,1920,,,
FranÃ§ois Blanciak,1976,,,
FranÃ§ois DufrÃªne,1930,,,
FranÃ§ois Girard,1963,,,
FranÃ§ois Morellet,1926,,,
FranÃ§ois Ozon,1967,,,
FranÃ§ois Rouan,1943,,,
FranÃ§ois Truffaut,1932,,,
FranÃ§oise Gilot,1921,,,
Franca Stagi,1937,,,
Frances Barth,1946,,,
Frances Butler,1940,,,
Frances Stark,1967,,,
Francesc Torres,1948,,,
Francesca Gabbiani,1965,,,
Francesca Lindh,1931,,,
Francesca Woodman,1958,,,
Francesco BinfarÃ©,1939,,,
Francesco Clemente,1952,265072,35,27904
Francesco Scansetti,1955,,,
Francesco Somaini,1926,,,
Francis AlÃ¿s,1959,,,
Francis Celentano,1928,,,
Francis Ford Coppola,1939,,,
Francis Noel,1937,,,
Francis Wishart,1951,,,
"Francisco (""Pancho"") Mora",1922,,,
Francisco Castro LeÃ±ero,1954,,,
Francisco Copello,1938,,,
Francisco Corzas,1936,,,
Francisco Farreras,1927,,,
Francisco Leiva Ivorra,1972,,,
Francisco MÃ©ndez LabbÃ©,1922,,,
Francisco Toledo,1940,,,
Franciszek Starowieyski,1930,,,
Franco Annoni,1924,,,
Franco Raggi,1945,,,
Franco Ricci,1937,,,
Franco Teodoro,1939,,,
Franco Zecchin,1953,,,
Francois Dallegret,1937,,,
Francois Deschamps,1946,,,
Francois Lunven,1942,,,
Francois ThÃ©pot,1925,,,
Frank Auerbach,1931,,,
Frank Badur,1944,,,
Frank Barkow,1957,,,
Frank Benedict,1951,,,
Frank Bowling,1936,,,
Frank Gallo,1933,,,
Frank Gardner,1920,,,
Frank Gillette,1941,,,
Frank Gohlke,1942,,,
Frank Heacox,1923,,,
Frank Kozik,1962,,,
Frank LaPena,1937,,,
Frank Lobdell,1921,,,
Frank Lupo,1950,,,
Frank Magnotta,1970,,,
Frank Miller,1957,,,
Frank Moore,1953,,,
Frank Nitsche,1964,,,
Frank O. Gehry,1929,,,
Frank Oz,1944,,,
Frank Paulin,1926,,,
Frank Sellitto,1951,,,
Frank Shepard Fairey,1970,,,
Frank Stella,1936,,,
Frank Stewart,1949,,,
Frank Trowbridge,1941,,,
Frans Krajcberg,1921,,,
Frans van Nieuwenborg,1941,,,
Franz Ackermann,1963,,,
Franz Erhard Walther,1939,,,
Franz Gertsch,1930,,,
Franz Graf,1954,,,
Franz Hitzler,1946,,,
Franz Josef van der Grinten,1933,,,
Franz West,1947,3059622,49,855000
Franziska Furter,1972,,,
Fred,1956,,,
Fred Cain,1938,,,
Fred Martin,1927,,,
Fred Mayer,1938,,,
Fred Sandback,1943,,,
Fred Simon,1945,,,
Fred Tomaselli,1956,,,
Fred W. McDarrah,1926,,,
Fred Williams,1927,,,
Fred Wilson,1954,,,
Freddie Yauner,1982,,,
Frederic Lieberman,1930,,,
Frederick Cooper Llosa,1939,,,
Frederick Wardy,1937,,,
Frederick Wiseman,1930,,,
Fredrik Brodtkorb,1971,,,
Free Art and Technology Lab,2007,,,
Freeplay Energy Plc.,1996,,,
Fridolin MÃ¼ller,1926,,,
Frieder Grindler,1941,,,
Friedrich Kunath,1974,,,
Friedrich St. Florian,1932,,,
Fritz Bergler,1955,,,
Fritz Grohs,1955,,,
Fritz Haller,1924,,,
Fritz Koenig,1924,,,
Fritz Scholder,1937,,,
"frogdesign, Sunnydale, CA",1969,,,
Fujiko Nakaya,1933,,,
Fujiwara Dai,1967,,,
Fukita Fumiaki,1926,,,
Fukui Ryonosuko,1924,,,
Fuller Griffith,1930,,,
Fumihiko Maki,1928,,,
fuseproject,1999,,,
Futura 2000,1955,,,
Futzie Nutzle,1942,,,
FXFOWLE,1978,,,
G Ateliers Architecture,2006,,,
G. Ray Kerciu,1933,,,
GÃ©rald Incandela,1952,,,
GÃ©rard Deschamps,1937,,,
GÃ©rard DuchÃ¨ne,1944,,,
GÃ©rard Titus-Carmel,1942,,,
GÃ¶ran Ã…slin,1940,,,
GÃ¶ran Olsson,1965,,,
GÃ¶tz Keller,1958,,,
GÃ¼nter Brus,1938,,,
GÃ¼nter GÃ¼nschel,1928,,,
GÃ¼nter Haese,1924,,,
GÃ¼nter Zamp Kelp,1941,,,
GÃ¼nther FÃ¶rg,1952,,,
GÃ¼nther Kieser,1930,,,
GÃ¼nther Ssymmank,1920,,,
GÃ¼nther Uecker,1930,,,
Gabby Miller,1985,,,
Gabi Klasmer,1950,,,
Gabisile Nkosi,1974,,,
Gabor Body,1946,,,
Gabriel Alix,1930,,,
Gabriel Kuri,1970,,,
Gabriel LÃ©vÃªque,1923,,,
Gabriel Morera,1933,,,
Gabriel Orozco,1962,858313,11,795000
Gabriel Sierra,1975,,,
Gabriele Basilico,1944,,,
Gabriele Nothhelfer,1945,,,
Gabriele Picco,1974,,,
Gabrielle Russomagno,1963,,,
"Gad Shaanan Design, Inc.",1981,,,
Gae Aulenti,1930,,,
Gaetano Pesce,1939,,,
Galya Rosenfeld,1977,,,
Gandy Brodie,1925,,,
Garciella Torre,1959,,,
Gardar Eide Einarsson,1976,,,
Gareth James,1970,,,
Garin Nugroho,1961,,,
Garo Antreasian,1922,,,
Garry Winogrand,1928,,,
Garth Evans,1934,,,
Garth Jennings,1972,,,
Gary Anderson,1947,,,
Gary Batty,1970,,,
Gary Bigot,1948,,,
Gary Essert,1938,,,
Gary Hill,1951,,,
Gary Hincks,1949,,,
Gary Hume,1962,385060,16,120883
Gary Kuehn,1939,,,
Gary L. Hallman,1940,,,
Gary Metz,1941,,,
Gary Simmons,1964,,,
Gary Stephan,1942,,,
Gary Stephen Brotmeyer,1946,,,
Gary Winick,1961,,,
Gaspar NoÃ©,1963,,,
Gastone Novelli,1925,,,
Gastone Rinaldi,1920,,,
Gavin R. Russom,1974,,,
Gavin Turk,1965,,,
Gay Block,1942,,,
GE Aircraft Engines,1942,,,
Gecko Design,1996,,,
Gedi Sibony,1973,,,
Geir Eide,1963,,,
Gene Davis,1920,,,
Gene Deitch,1924,,,
Gene Greif,1954,,,
Gene Kennedy,1946,,,
Gene Saks,1921,,,
Gene Vass,1922,,,
GeneviÃ¨ve Asse,1923,,,
Genpei Akasegawa,1937,,,
Geoff Winningham,1943,,,
Geoffrey Biddle,1950,,,
Geoffrey Hendricks,1931,,,
Geoffrey James,1942,,,
Geoffrey Mann,1980,,,
Geoffrey Shea,1958,,,
"Geomet Inc., New York, NY",1954,,,
Georg Baselitz,1938,,,
Georg Chaimowicz,1929,,,
Georg Gerster,1928,,,
Georg Herold,1947,,,
Georg Schmid,1928,,,
"George ""Ed"" Logg",1948,,,
George A. Tice,1938,,,
George Baldessin,1939,,,
George Barker,1942,,,
George Brecht,1926,,,
George Bures Miller,1960,,,
George Clooney,1961,,,
George Condo,1957,49248967,100,6162500
George Delany,1946,,,
George Dunning,1920,,,
George Fullerton,1923,,,
George Garces,1972,,,
George Georgiou,1961,,,
George Haas,1953,,,
George Hardie,1944,,,
George Herms,1935,,,
George Krause,1937,,,
George Landow,1944,,,
George Lockwood,1929,,,
George Lois,1931,,,
George Lucas,1944,,,
George Lynn,1941,,,
George Maciunas,1931,,,
George Ortman,1926,,,
George Passmore,1942,,,
George Roy Hill,1921,,,
George Sadek,1928,,,
George Segal,1924,,,
George Tooker,1920,,,
George Trakas,1944,,,
George Tscherny,1924,,,
George Woodman,1932,,,
George Ygfors,1926,,,
George Yuasa,1929,,,
George Zimbel,1929,,,
Georges Heinz,1959,,,
Georges Mathieu,1921,,,
Georges NoÃ«l,1924,,,
Georgia Hubley,1960,,,
Georgianna Stout,1967,,,
Georgina Starr,1968,,,
Ger Lataster,1920,,,
Ger van Elk,1941,,,
Gerald Abramovitz,1928,,,
Gerald Coble,1933,,,
Gerald Ferguson,1937,,,
Gerald Gooch,1933,,,
Gerald Hayes,1940,,,
Gerald Jackson,1943,,,
Gerald Jupitter-Larsen,1959,,,
Gerald Laing,1936,,,
Gerald Scarfe,1936,,,
Geraldo de Barros,1923,,,
Gerard Garouste,1946,,,
Gerard Malanga,1943,,,
Gerard Petrus Fieret,1924,,,
Gerardo Pita,1950,,,
Gerd Alfred MÃ¼ller,1932,,,
Gerd Bonfert,1953,,,
Gerd Winner,1936,,,
Gerhard Altenbourg,1926,,,
Gerhard Grossing,1957,,,
Gerhard Heufler,1944,,,
Gerhard Lang,1963,,,
Gerhard Merz,1947,,,
Gerhard RÃ¼hm,1930,,,
Gerhard Richter,1932,,,
Gerhard Spring,1962,,,
German Bobe,1963,,,
German Lorca,1922,,,
Gernot Bubenik,1942,,,
Gert Dumbar,1940,,,
Gert Tobias,1973,,,
Gertrud Fischbacher,1967,,,
Geta BrÄƒtescu,1926,,,
Getulio Alviani,1939,,,
Ghariokwu Lemi,1955,,,
Ghislain Uhry,1932,,,
GiÃ² Pomodoro,1930,,,
Giacomo Porzano,1925,,,
Giampiero Bassi,1926,,,
Gian Piero Frassinelli,1939,,,
Giancarlo Mattioli,1933,,,
Giancarlo Mazzanti,1963,,,
Giancarlo Piretti,1940,,,
Giandomenico Belotti,1922,,,
Gianfranco Baruchello,1924,,,
Gianfranco Facchetti,1939,,,
Gianfranco Frattini,1926,,,
Gianfranco Rosi,1964,,,
Gianfredo Camesi,1940,,,
Gianluca Martino,1973,,,
Gianni Amelio,1945,,,
Gianni Bertini,1922,,,
Gianni Braghieri,1945,,,
Gianni Colombo,1937,,,
Gianni Dessi,1955,,,
Gianni Di Gregorio,1949,,,
Gianni Dova,1925,,,
Gianni Ferrara,1928,,,
Gianni Pareschi,1940,,,
Gianni Passini,1941,,,
Gianni Penati,1930,,,
Gianni-Emilio Simonetti,1940,,,
Gilbert Baker,1951,,,
Gilbert Bretterbauer,1957,,,
Gilbert Lesser,1935,,,
Gilbert Proesch,1943,,,
Gilberto Battocchio,1941,,,
Gilberto Corretti,1941,,,
Gilberto Zorio,1944,,,
Gilda Mantilla,1967,,,
Gilles Deleuze,1925,,,
Gilles Peress,1946,,,
Gillian Ayres,1930,,,
Gillian Wearing,1963,,,
Gils Bakker,1942,,,
GilvÃ¡n Samico,1928,,,
Gin L. Eng,1950,,,
Gina Pane,1939,,,
Ginny Bishton,1967,,,
Gino De Dominicis,1947,983728,18,321440
Gino Marotta,1935,,,
Gino Valle,1923,,,
Giorgia Lupi,1981,,,
Giorgio Berretti,1941,,,
Giorgio Ceretti,1932,,,
Giorgio DeCurso,1927,,,
Giorgio Gurioli,1957,,,
Giorgio Olivero,1975,,,
Giorgio Soavi,1923,,,
Giotto Stoppino,1926,,,
Giovanni Anselmo,1934,,,
Giovanni Bassi,1926,,,
"Giro Sport Design, Inc., a division of Bell Sports, Inc.",1985,,,
Giselle Baillie,1971,,,
Giulio Iacchetti,1966,,,
Giulio Lazzotti,1942,,,
Giulio Paolini,1940,,,
Giuseppe Chiari,1926,,,
Giuseppe de Goetzen,1921,,,
Giuseppe Gallo,1954,,,
Giuseppe Guerreschi,1929,,,
Giuseppe Lignano,1963,,,
Giuseppe Penone,1947,635826,15,231250
Giuseppe Pensotti,1939,,,
Giuseppe Spagnulo,1936,,,
"Given Imaging Ltd., Israel",1998,,,
GK Design Group,1953,,,
Gladys Nilsson,1940,,,
Glanzman-Parker,1952,,,
Glen Baldridge,1977,,,
Glen Luchford,1968,,,
Glen Oliver LÃ¶w,1959,,,
Glen Pettit/The New York Times,1971,,,
Glenn Andreiev,1961,,,
Glenn Branca,1948,,,
Glenn Brown,1966,,,
Glenn Edens,1952,,,
Glenn Goldberg,1953,,,
Glenn Ligon,1960,2412556,19,564500
Glenn O'Brien,1947,,,
Glenn Rudolph,1946,,,
Glenn Sorensen,1968,,,
Gloria Camiruaga,1940,,,
Gloria Caranica,1931,,,
Gloria Cortella,1929,,,
Gloria Ortiz-HernÃ¡ndez,1943,,,
Godfrey Cheshire,1951,,,
Godtfred Kirk Christiansen,1920,,,
Golan Levin,1972,,,
GOLDIN + SENNEBY,2004,,,
GonzÃ¡lez Ruiz,1937,,,
Gonzalo Diaz,1947,,,
Google Inc.,1998,,,
Goran Paskaljevic,1947,,,
Gordon Bennett,1933,,,
Gordon Cheung,1975,,,
Gordon Cook,1927,,,
Gordon Holler,1935,,,
Gordon Matta-Clark,1943,,,
Gordon Newton,1948,,,
Gordon Randall Perry,1943,,,
Gorgona artists group,1959,,,
Gosbert Adler,1956,,,
Gottfried Helnwein,1948,522925,33,155420
Gotthard Graubner,1930,,,
Gottlieb Soland,1928,,,
GrÃ©goire Jeanmonod,1978,,,
GrÃ©goire MÃ¼ller,1947,,,
Grace Hartigan,1922,,,
Grace Jones,1948,,,
Graciela Iturbide,1943,,,
Graeme Whifler,1951,,,
Grafton Architects,1978,,,
Graham Coughtry,1931,,,
Graham Gillmore,1963,,,
Graham Little,1972,,,
Graham Nickson,1946,,,
Graham Smith,1947,,,
Granaz Moussavi,1974,,,
Granger Moorhead,1969,,,
Grant Mudford,1944,,,
Grapus,1970,,,
Gray Foy,1922,,,
Grayson Perry,1960,2669864,25,825783
Graziella Urbinati,1927,,,
Greg Colson,1956,,,
Greg Curnoe,1936,,,
Greg Durbin,1950,,,
Greg Goldberg,1973,,,
Greg Lynn,1964,,,
Greg Marting,1960,,,
Greg Mottola,1964,,,
Greg Sharits,1945,,,
Gregg A. Pasquarelli,1965,,,
Gregg Bordowitz,1964,,,
Gregg Thompson,1976,,,
Gregg Wager,1958,,,
Gregor Schmoll,1970,,,
Gregor Schneider,1969,,,
Gregor Zivic,1965,,,
Gregory Amenoff,1948,,,
Gregory Conniff,1944,,,
Gregory Crewdson,1962,,,
Gregory Gillespie,1936,,,
Gregory Green,1959,,,
Gregory Hoblit,1944,,,
Gregory Masurovsky,1929,,,
Gregory Spaid,1946,,,
Grenville Davey,1961,,,
Greta Schiller,1954,,,
Gretchen Bender,1951,,,
Grete Jalk,1920,,,
Gretl Wollner,1920,,,
Grey Organisation,1983,,,
Grisha Bruskin,1945,,,
Gro Bonesmo,1963,,,
Groting,1961,,,
Group Material,1979,,,
"grupo aranea, Alicante",1998,,,
Gruppe X,1966,,,
Gruppo Architetti Urbanisti CittÃ  Nuova,1961,,,
Gruppo N,1959,,,
"GUBI, Copenhagen, Denmark",1976,,,
Guenter Tuzina,1951,,,
Guenther C. Kirchberger,1928,,,
Guglielmo Berchicci,1957,,,
Guido Biasi,1933,,,
Guido Molinari,1933,,,
Guido van der Werve,1977,,,
Guillermo BermÃºdez,1924,,,
Guillermo Calzadilla,1971,,,
Guillermo GonzÃ¡lez Ruiz,1937,,,
Guillermo Kuitca,1961,,,
Guillermo NuÃ±ez,1930,,,
Gundula Schulze-Eldowy,1954,,,
Gunnar CyrÃ©n,1931,,,
Gunter Rambow,1938,,,
Gunther Rochelt,1939,,,
Gunvor Nelson,1931,,,
Gus Van Sant,1952,,,
Gustav Deutsch,1952,,,
Gustav Kluge,1947,,,
Gustav Lepschy,1942,,,
Gustavo Monroy,1959,,,
Gustavo Pizzi,1977,,,
GusztÃ¡v HÃ¡mos,1955,,,
Guy Ben-Ner,1969,,,
Guy Bourdin,1933,,,
Guy de Cointet,1934,,,
Guy Dill,1946,,,
Guy Harloff,1933,,,
Guy Maddin,1956,,,
Guy Nordenson,1955,,,
Guy Peellaert,1934,,,
Guy Ritchie,1968,,,
Guy Teschmacher,1939,,,
Guy Tillim,1962,,,
Gwathmey Siegel & Associates Architects,1967,,,
GyÃ¶rgy SÃ¡ndor Ligeti,1923,,,
Gyula Fodor,1953,,,
Gyula Kosice (Fernando Fallik),1924,,,
H. C. Westermann,1922,,,
Ha Chonghyun,1935,,,
HÃ¢n Pham,1971,,,
HÃ¥kan Bergkvist,1946,,,
HÃ©ctor GarcÃ­a,1923,,,
HÃ©ctor Vigliecca,1940,,,
HÃ©lÃ¨ne Binet,1959,,,
HÃ©lÃ¨ne Delprat,1957,,,
HÃ©lio Oiticica,1937,,,
HÃ¼seyin Bahri Alptekin,1957,,,
Haegue Yang,1971,,,
Hai Bo,1962,,,
Hai Quoc Tran,1960,,,
Haim Steinbach,1944,,,
Hajime Sorayama,1947,,,
Hajra Waheed,1980,,,
Haku Maki,1924,,,
Hakudo Kobayashi,1944,,,
Hal Ashby,1929,,,
Halil Altindere,1971,,,
Halina Chrostowska,1929,,,
Hally Pancer,1961,,,
Haluk AkakÃ§e,1970,,,
Hamish Fulton,1946,,,
Hancock Laverne,1926,,,
Hani Rashid,1958,,,
Hank Bull,1949,,,
Hank Willis Thomas,1976,,,
Hanna Schygulla,1943,,,
Hannah Wilke,1940,,,
Hanne Darboven,1941,,,
Hanneline Visnes,1972,,,
Hannelore Baron,1926,,,
Hannes Postma,1933,,,
Hannes Rosacher,1952,,,
Hannes Schwarz,1926,,,
Hans Breder,1935,,,
Hans Brockhage,1925,,,
Hans Buschfeld,1939,,,
Hans Coper,1920,,,
Hans Ehrich,1942,,,
Hans Eichenberger,1926,,,
Hans Gantert,1934,,,
Hans Gugelot,1920,,,
Hans Haacke,1936,,,
Hans Hammarskiold,1925,,,
Hans Hillmann,1925,,,
Hans Himbert,1951,,,
Hans Hollein,1934,,,
Hans Joachim Dietrich,1938,,,
Hans Jurgen Spohn,1934,,,
Hans KÃ¼ng,1928,,,
Hans Levi,1935,,,
Hans Maier-Aichen,1940,,,
Hans Meyer-Petersen,1937,,,
Hans Michel,1920,,,
Hans Petter Moland,1955,,,
Hans Platschek,1923,,,
Hans Scheugl,1940,,,
Hans Staeger,1928,,,
Hans Theo Baumann,1924,,,
Hans Tollin,1947,,,
Hans Weigand,1954,,,
Hans Weingartner,1970,,,
Hans-Christian Schmid,1965,,,
Hans-Peter Feldmann,1941,,,
Hans-Ulrich Obrist,1968,,,
Hap Sakwa,1950,,,
Hap Tivey,1947,,,
Harald Szeemann,1933,,,
Hareide Designmill,2000,,,
Haresh Lalvani,1955,,,
Harman Kardon Co.,1953,,,
Harmony Hammond,1944,,,
Harmony Korine,1973,,,
Harold Altman,1924,,,
Harold Barling Town,1924,,,
Harold Feinstein,1931,,,
Harold Jones,1940,,,
Harold Krisel,1920,,,
Harold Paris,1925,,,
Harold Ramis,1944,,,
Harold Sitterle,1921,,,
Harold Tovish,1921,,,
Harrell Fletcher,1967,,,
Harri Koskinen,1970,,,
Harry Allen,1964,,,
Harry Anderson,1943,,,
Harry Bouras,1931,,,
Harry Brorby,1927,,,
Harry C. Wolf,1935,,,
Harry Dodge,1966,,,
Harry Shunk,1924,,,
Harry Sinclair,1959,,,
Harry Suchland,1925,,,
Harry V. Cremonese,1939,,,
Hartmut Friedrich,1935,,,
Haruhiko Shono,1960,,,
Harumi Yamaguchi,1941,,,
Harun Farocki,1944,,,
Harvest Records,1969,,,
Harvey Daniels,1936,,,
Harvey Himelfarb,1941,,,
Harvey Littleton,1922,,,
Harvey Pekar,1939,,,
Harvey Quaytman,1937,,,
Harvey Tulcensky,1948,,,
Haus-Rucker-Co,1967,,,
"HAY, Denmark",2002,,,
Hayao Miyazaki,1941,,,
Hayley Tompkins,1971,,,
Haythornthwaite//Creativelab,2000,,,
Haze,1961,,,
Hector Coronado,1938,,,
Hedda Beese,1944,,,
Heidi Bucher,1926,,,
Heike Baranowsky,1967,,,
Heike Lohmann,1960,,,
Heike-Melba Fendel,1961,,,
Heikkinen Komonen Architects,1974,,,
Heimo Zobernig,1958,288303,11,56250
Hein van Dam,1974,,,
Heini Fischer-Corso,1921,,,
Heinrich Dunst,1955,,,
Heinrich Riebesehl,1938,,,
Heinz Bahr,1934,,,
Heinz Gappmayr,1925,,,
Heinz Lippert,1938,,,
Heinz Mack,1931,,,
Heinz Veuhoff,1933,,,
Heinz-Klaus Metzger,1932,,,
Helen + Hard AS,1996,,,
Helen Chadwick,1953,,,
Helen De Michiel,1953,,,
Helen Escobedo,1934,,,
Helen Frankenthaler,1928,,,
Helen Marten,1985,,,
Helen Mayer Harrison,1929,,,
Helena (Mie Yuan Wong) Wong,1938,,,
Helena Hernmarck,1941,,,
Helene Fesenmaier,1937,,,
Hella Jongerius,1963,,,
Hellen Van Meene,1972,,,
Helmut Federle,1944,,,
Helmut Kandl,1953,,,
Helmut Lang,1924,,,
Helmut Nothhelfer,1945,,,
Helmut Schmidt-Rhen,1936,,,
Helmut Swiczinsky,1944,,,
Hendrika Sonnenberg,1963,,,
Henk Stallinga,1962,,,
Henning Andreasen,1923,,,
Henning Christiansen,1932,,,
Henri Chopin,1922,,,
Henri Ginet,1923,,,
Henri Pribik,1944,,,
Henrik HÃ¥kansson,1968,,,
Henry Altchek,1943,,,
Henry Flynt,1940,,,
Henry Khudyakov,1930,,,
Henry Kluck,1922,,,
Henry Markowitz,1930,,,
Henry Selick,1952,,,
Henry Taylor,1958,1019583,11,362654
"Henry Wessel, Jr.",1942,,,
Herb Quick,1925,,,
Herb Snitzer,1932,,,
Herbert Carroll Cassill,1928,,,
Herbert Danska,1927,,,
