Artist_Name,Birth_Year,Turnover,Sold Lots,Highest Price
Alex Dodge,1977,,,
Alex Gama,1950,,,
Alex Grey,1953,,,
Alex Hay,1930,,,
Alex Holdridge,1975,,,
Alex Hubbard,1975,,,
Alex Israel,1982,562663,4,212500
Alex Katz,1927,,,
Alex Ku,1966,,,
Alex Kveton,1948,,,
Alex Moulton,1920,,,
"Alex Moulton Bicycles, England",1958,,,
Alex Prager,1979,,,
Alex Rivera,1973,,,
Alex Roberts,1983,,,
Alex Schweder,1970,,,
Alex Wall,1948,,,
Alex Weil,1951,,,
Alexa Hunter,1957,,,
Alexander Bally,1938,,,
Alexander Blomberg,1949,,,
Alexander E. Harris,1949,,,
Alexander Felch,1978,,,
Alexander Isley,1961,,,
Alexander Kluge,1932,,,
Alexander Kosolopov,1943,,,
Alexander Olch,1977,,,
Alexander Payne,1961,,,
Alexander Roitburd,1961,,,
Alexander Ross,1960,,,
Alexander Slussarev,1944,,,
Alexander Taylor,1975,,,
Alexandra Clotfelter,1989,,,
Alexandre Arrechea,1970,,,
Alexandre Singh,1980,,,
Alexey Pajitnov,1955,,,
Alexis Smith,1949,,,
Alfonso Cuaron,1961,,,
Alfred Bernard Stein,1947,,,
Alfred Gescheidt,1926,,,
Alfred Hofkunst,1942,,,
Alfred Hrdlicka,1928,,,
Alfred Karl Zlevor,1942,,,
Alfred Leslie,1927,,,
Alfred Pohl,1928,,,
Alfred Roth,1930,,,
Alfred Winter-Rust,1923,,,
Alfredo da Silva,1935,,,
Alfredo Jaar,1956,,,
Alfredo Martinez,1967,,,
Alfredo Rostgaard,1943,,,
Ali,1956,,,
Ali Gedik,1972,,,
Ali Rafie,1938,,,
Ali Tayar,1959,,,
"Alias SpA, Bergamo, Italy",1979,,,
Alice Adams,1930,,,
Alice Attie,1950,,,
Alice Aycock,1946,,,
Alice Baber,1928,,,
Alice Elliott,1946,,,
Alice Rohrwacher,1982,,,
Alighiero Boetti,1940,,,
Alik Cavaliere,1926,,,
Alina Szapocznikow,1926,,,
Alirio Palacios,1938,,,
Alison Knowles,1933,,,
Alison Rossiter,1953,,,
Alison Saar,1956,,,
Alix Pearlstein,1962,,,
Allan Alcorn,1948,,,
Allan Currall,1965,,,
Allan D'Arcangelo,1930,,,
Allan Gittler (Avraham Bar Rashi),1928,,,
Allan Kaprow,1927,,,
Allan McCollum,1944,,,
Allan Sekula,1951,,,
Allen A. Dutton,1922,,,
Allen Ginsberg,1926,,,
Allen Hawthorne,1935,,,
Allen John Bootroyd,1943,,,
Allen Jones,1937,,,
Allen Klein,1938,,,
Allen Ruppersberg,1944,,,
Alloy Ltd. Total Product Design,1999,,,
Allyson Strafella,1969,,,
Almir Mavignier,1925,,,
Aloisio Lahyre de  MagalhÃ£es,1927,,,
Aloisio MagalhÃ£es,1927,,,
Alton Kelley,1940,,,
Alun Leach-Jones,1937,,,
Alwyn Scott Turner,1936,,,
Alyson Shotz,1964,,,
Amanda Guest,1964,,,
Amanda Knox Sather,1975,,,
Amanda Levete,1959,,,
Amar Kanwar,1964,,,
Amazing Musical Instrument Company,1987,,,
Ambrogio Pozzi,1931,,,
"Amefa Alpeldoornse, Apeldoorne, The Netherlands",1931,,,
Amelie von Wulffen,1966,,,
America Sanchez,1939,,,
Amilcar de Castro,1920,,,
Ammar Eloueini,1968,,,
Amos Gitai,1950,,,
Amy Arbus,1954,,,
Amy Cutler,1974,,,
Amy Gartrell,1974,,,
Amy Granat,1976,,,
Amy O'Neill,1971,,,
Amy Schwartz,1958,,,
Amy Sillman,1955,1752359,11,575209
Ana Mendieta,1948,,,
Anandajit Ray,1965,,,
Anatoly Timofeevich Zverev,1931,,,
Anders Grafstrom,1956,,,
Anders Hansen,1971,,,
Anders Mohss,1958,,,
Anders Osterlin,1926,,,
Anders Petersen,1944,,,
AndrÃ¡s Wahorn,1953,,,
AndrÃ© Cadere,1934,,,
AndrÃ© Carneiro,1922,,,
AndrÃ© Halimi,1930,,,
AndrÃ© Komatsu,1978,,,
AndrÃ© Minaux,1923,,,
AndrÃ© TÃ©chinÃ©,1943,,,
AndrÃ© Thomkins,1930,,,
AndrÃ©s Jaque,1971,,,
Andrea BÃ¼ttner,1972,,,
Andrea Bowers,1965,,,
Andrea Branzi,1938,,,
Andrea Cascella,1920,,,
Andrea Fraser,1965,,,
Andrea Geyer,1971,,,
Andrea Modica,1960,,,
Andrea Trimarchi,1980,,,
Andrea Zittel,1965,,,
Andreas Gursky,1955,8271034,33,2204263
Andreas Hykade,1968,,,
Andreas Siekmann,1961,,,
Andreas Slominski,1959,,,
Andreas Vogler,1964,,,
Andreas Zybach,1975,,,
Andrei Monastyrski,1949,,,
Andrei Ujica,1951,,,
Andrei Voznesensky,1933,,,
Andrei Zvyagintsev,1964,,,
Andres Serrano,1950,,,
"Andrew ""Bunnie"" Huang",1975,,,
Andrew Burroughs,1962,,,
Andrew Castrucci,1961,,,
Andrew Foster Bush,1956,,,
Andrew Haythornthwaite,1980,,,
Andrew Ive,1968,,,
Andrew John Hessel,1963,,,
Andrew Lord,1950,,,
Andrew Morrison,1939,,,
Andrew Noren,1943,,,
Andrew Repasky McElhinney,1978,,,
Andrew Spence,1947,,,
Andrew Stanton,1965,,,
Andrew Stasik,1932,,,
Andrew Zago,1958,,,
Andrez Wajda,1926,,,
Andries Van Onck,1928,,,
Andro Wekua,1977,,,
Andrzej Budek,1959,,,
Andrzej J. Wroblewski,1934,,,
Andrzej Kalina,1952,,,
Andrzej KarpiÅ„ski,1963,,,
Andrzej Pagowski,1953,,,
Andrzej Zborski,1929,,,
Andy Diaz Hope,1967,,,
Andy Vella,1961,,,
Andy Warhol,1928,,,
Ang Lee,1954,,,
Angel Abreu,1974,,,
Angel Velasco Shaw,1963,,,
Angela Bulloch,1966,,,
