Artist_Name,Turnover,Sold Lots,Highest Price,Top_500_Rank
Kyle POLZIN,"$277,103 ",7,"$80,000 ",449
John SHINNORS,"$276,855 ",21,"$53,304 ",450
ZHU Jinshi,"$275,505 ",2,"$223,005 ",451
LI Zhengzheng,"$273,675 ",2,"$243,464 ",452
Richard ALDRICH,"$273,621 ",11,"$56,808 ",453
Ralph FLECK,"$272,504 ",36,"$63,756 ",454
Mona HATOUM,"$272,346 ",12,"$98,486 ",455
PENG Wei,"$272,269 ",8,"$123,303 ",456
Herbert BRANDL,"$272,075 ",14,"$53,103 ",457
Carol BOVE,"$271,786 ",4,"$150,000 ",458
Pacita Barsana ABAD,"$271,197 ",15,"$87,629 ",459
Keith COVENTRY,"$271,125 ",7,"$74,745 ",460
Kiki SMITH,"$270,696 ",35,"$95,880 ",461
FONCKY-TWO,"$270,520 ",3,"$250,958 ",462
Liza LOU,"$270,444 ",6,"$200,000 ",463
Koen VAN DEN BROEK,"$269,278 ",12,"$57,493 ",464
Rodel TAPAYA-GARCIA,"$266,944 ",9,"$87,703 ",465
Allen MADDOX,"$265,843 ",29,"$61,723 ",466
Jeff WALL,"$265,799 ",6,"$138,605 ",467
Rowan GILLESPIE,"$265,334 ",13,"$43,568 ",468
Francesco CLEMENTE,"$265,072 ",35,"$27,904 ",469
Ibrahim MAHAMA,"$264,498 ",5,"$105,818 ",470
Shane COTTON,"$264,331 ",13,"$57,994 ",471
Bharti KHER,"$264,248 ",5,"$148,032 ",472
HUNG Yi,"$263,593 ",8,"$80,489 ",473
WU Yi,"$263,317 ",10,"$191,268 ",474
LI Jinkun,"$262,876 ",8,"$93,420 ",475
CHEN Tao,"$261,027 ",1,"$261,027 ",476
VHILS,"$260,908 ",15,"$62,360 ",477
CUI Jingzhe,"$260,726 ",6,"$216,413 ",478
Canan TOLON,"$260,453 ",7,"$73,381 ",479
Nicola DE MARIA,"$258,554 ",21,"$30,221 ",480
Xenia HAUSNER,"$257,197 ",10,"$88,615 ",481
Tomoya TSUKAMOTO,"$257,069 ",3,"$120,056 ",482
Donald SULTAN,"$255,581 ",59,"$47,500 ",483
Wilhelm SASNAL,"$255,312 ",16,"$55,062 ",484
YOU Jin,"$255,161 ",2,"$167,532 ",485
David ALTMEJD,"$254,701 ",4,"$105,175 ",486
SHU Qun,"$251,942 ",1,"$251,942 ",487
AN Qibang,"$251,692 ",4,"$116,111 ",488
Dong-Youb LEE,"$251,440 ",5,"$80,960 ",489
Ana MIRALLES,"$246,539 ",15,"$28,463 ",490
Herv DI ROSA,"$245,672 ",89,"$27,063 ",491
Chantal JOFFE,"$245,419 ",12,"$57,450 ",492
XU Zhen,"$244,933 ",6,"$95,574 ",493
WEI Ershen,"$244,794 ",4,"$142,807 ",494
WU Huan,"$244,347 ",10,"$52,154 ",495
Jason MARTIN,"$243,785 ",7,"$65,689 ",496
Michael KREBBER,"$242,658 ",5,"$175,000 ",497
Richard MISRACH,"$242,633 ",16,"$81,250 ",498
Norman Clive CATHERINE,"$242,071 ",103,"$44,466 ",499
Leonid PURYGIN,"$241,908 ",10,"$104,335 ",500
