Artist_Name,Turnover,Sold Lots,Highest Price,Top_500_Rank
XU Bing,"$2,257,620 ",8,"$1,044,108 ",96
Julian OPIE,"$2,238,280 ",94,"$218,750 ",97
XU Lele,"$2,236,407 ",48,"$251,385 ",98
Danh VO,"$2,225,063 ",14,"$378,772 ",99
TIAN Liming,"$2,210,836 ",32,"$1,008,504 ",100
Pablo ATCHUGARRY,"$2,194,796 ",29,"$212,500 ",101
LIU Wei,"$2,180,012 ",7,"$974,501 ",102
Beatriz MILHAZES,"$2,129,363 ",6,"$1,158,260 ",103
XU Mangyao,"$2,088,216 ",1,"$2,088,216 ",104
Hiroshi SENJU,"$2,053,881 ",185,"$172,881 ",105
Jamie WYETH,"$2,027,002 ",15,"$1,212,500 ",106
Thomas STRUTH,"$2,023,611 ",40,"$456,500 ",107
Carroll DUNHAM,"$2,023,584 ",44,"$591,000 ",108
LIU Dan,"$1,977,868 ",5,"$1,284,041 ",109
Katharina GROSSE,"$1,887,222 ",18,"$402,940 ",110
Jenny HOLZER,"$1,864,785 ",30,"$471,000 ",111
CAI Guoqiang,"$1,839,125 ",9,"$913,277 ",112
XIONG Honggang,"$1,835,073 ",15,"$1,066,264 ",113
Ali BANISADR,"$1,756,665 ",6,"$459,000 ",114
Amy SILLMAN,"$1,752,359 ",11,"$575,209 ",115
Tauba AUERBACH,"$1,735,118 ",12,"$1,089,346 ",116
Oscar MURILLO,"$1,709,008 ",15,"$250,000 ",117
Thomas RUFF,"$1,620,658 ",87,"$101,410 ",118
WANG Xingwei,"$1,586,767 ",4,"$730,876 ",119
Daniel RICHTER,"$1,583,825 ",61,"$318,579 ",120
Maurizio CATTELAN,"$1,578,767 ",83,"$637,853 ",121
Francis ALYS,"$1,511,442 ",28,"$275,000 ",122
LI Laoshi,"$1,507,080 ",23,"$341,517 ",123
CHIU Ya Tsai,"$1,493,854 ",20,"$196,383 ",124
Luc TUYMANS,"$1,490,129 ",31,"$1,007,128 ",125
Tracey EMIN,"$1,473,136 ",100,"$215,933 ",126
DING Yi,"$1,461,607 ",11,"$688,748 ",127
Adriana VAREJAO,"$1,448,899 ",4,"$783,000 ",128
Eric FISCHL,"$1,447,294 ",32,"$504,500 ",129
Farhad MOSHIRI,"$1,442,604 ",8,"$321,300 ",130
HE Duoling,"$1,425,947 ",7,"$452,806 ",131
Lin ONUS,"$1,354,892 ",10,"$595,704 ",132
WANG Yong,"$1,348,589 ",32,"$140,201 ",133
Chi Gyun OH,"$1,331,938 ",26,"$164,560 ",134
DING Fang,"$1,325,425 ",3,"$783,702 ",135
Roni HORN,"$1,323,744 ",20,"$361,996 ",136
HAN Binsheng,"$1,295,968 ",8,"$718,985 ",137
XU Lei,"$1,290,753 ",11,"$437,040 ",138
Timothy Austin STORRIER,"$1,264,667 ",46,"$228,002 ",139
Michal BORREMANS,"$1,257,543 ",6,"$1,152,745 ",140
Jaume PLENSA,"$1,256,747 ",20,"$591,000 ",141
HUANG Yuxing,"$1,252,163 ",14,"$168,825 ",142
Walton FORD,"$1,248,076 ",4,"$1,212,500 ",143
FAN Yang,"$1,237,813 ",48,"$222,566 ",144
Karin KNEFFEL,"$1,235,895 ",18,"$179,446 ",145
Tomoo GOKITA,"$1,230,574 ",26,"$349,240 ",146
ZHAN Wang,"$1,227,181 ",7,"$592,129 ",147
MI Qiaoming,"$1,226,294 ",4,"$461,148 ",148
INVADER,"$1,222,492 ",79,"$122,051 ",149
LU Fusheng,"$1,198,999 ",12,"$500,172 ",150
Vik MUNIZ,"$1,177,324 ",41,"$104,052 ",151
Urs FISCHER,"$1,174,883 ",7,"$1,092,500 ",152
Richard HAMBLETON,"$1,154,387 ",17,"$552,772 ",153
Stephan BALKENHOL,"$1,154,292 ",49,"$88,625 ",154
YUAN Wu,"$1,146,037 ",30,"$469,476 ",155
Toms SANCHEZ,"$1,140,000 ",6,"$552,500 ",156
Barbara KRUGER,"$1,116,960 ",23,"$287,390 ",157
Jenny SAVILLE,"$1,112,835 ",3,"$794,461 ",158
Neil JENNEY,"$1,109,300 ",3,"$735,000 ",159
